epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,560.76,0.36823,0.38191,0.27197,0.92392,0.99937,1,0.995,0.93821,0.99937,1,0.995,0.98616,0.33171,0.32658,0.24442,0.89735,0.001802,0.001802,0.001802
32,573.227,0.37391,0.40319,0.27344,0.93042,0.99914,1,0.995,0.94627,0.99914,1,0.995,0.98538,0.30385,0.32563,0.23809,0.87228,0.0017954,0.0017954,0.0017954
33,589.189,0.37746,0.40671,0.27297,0.92288,0.99981,1,0.995,0.96318,0.99981,1,0.995,0.98561,0.31475,0.32899,0.23977,0.89834,0.0017888,0.0017888,0.0017888
34,601.511,0.37582,0.40215,0.27306,0.92526,0.98948,0.99425,0.99489,0.96639,0.98948,0.99425,0.99489,0.98343,0.29082,0.32917,0.21611,0.86894,0.0017822,0.0017822,0.0017822
35,613.796,0.36789,0.37808,0.27024,0.92815,0.99396,1,0.99494,0.96036,0.99396,1,0.99494,0.9777,0.27192,0.31415,0.22426,0.86541,0.0017756,0.0017756,0.0017756
36,631.038,0.35433,0.36489,0.26633,0.9207,0.99542,1,0.995,0.96292,0.99542,1,0.995,0.98514,0.29104,0.32689,0.21075,0.90041,0.001769,0.001769,0.001769
37,645.951,0.36845,0.39771,0.26886,0.92501,0.9996,1,0.995,0.94201,0.9996,1,0.995,0.98546,0.34406,0.32002,0.24643,0.89769,0.0017624,0.0017624,0.0017624
38,662.894,0.35256,0.35661,0.26249,0.92147,0.99961,1,0.995,0.96304,0.99961,1,0.995,0.98466,0.31955,0.31865,0.24394,0.89504,0.0017558,0.0017558,0.0017558
39,675.098,0.36509,0.41303,0.27077,0.93044,0.9942,1,0.995,0.96351,0.9942,1,0.995,0.98462,0.28365,0.31672,0.21886,0.86731,0.0017492,0.0017492,0.0017492
40,687.453,0.3544,0.40517,0.26157,0.91678,0.99968,1,0.995,0.96918,0.99968,1,0.995,0.98466,0.2793,0.33882,0.20557,0.85498,0.0017426,0.0017426,0.0017426
41,703.444,0.35739,0.3784,0.26599,0.92548,0.99961,1,0.995,0.96968,0.99961,1,0.995,0.98079,0.28914,0.33867,0.20192,0.87692,0.001736,0.001736,0.001736
42,715.956,0.36134,0.4155,0.25879,0.92275,0.9997,1,0.995,0.95775,0.9997,1,0.995,0.97972,0.30516,0.34346,0.22124,0.8856,0.0017294,0.0017294,0.0017294
43,732.018,0.36346,0.40211,0.26112,0.92724,0.99946,1,0.995,0.94089,0.99946,1,0.995,0.98525,0.34757,0.31544,0.23082,0.92552,0.0017228,0.0017228,0.0017228
44,744.636,0.36429,0.39024,0.26006,0.92295,0.99967,1,0.995,0.96679,0.99967,1,0.995,0.98559,0.295,0.30096,0.22929,0.89151,0.0017162,0.0017162,0.0017162
45,757.042,0.36342,0.37768,0.25521,0.93678,0.99923,1,0.995,0.97472,0.99923,1,0.995,0.98668,0.28104,0.32781,0.21706,0.8611,0.0017096,0.0017096,0.0017096
46,774.007,0.36333,0.37452,0.25983,0.92343,0.99965,1,0.995,0.97741,0.99965,1,0.995,0.98876,0.25607,0.30294,0.20302,0.84385,0.001703,0.001703,0.001703
47,786.374,0.35502,0.42456,0.26038,0.93414,0.99921,1,0.995,0.97167,0.99921,1,0.995,0.98459,0.27358,0.3096,0.21452,0.86211,0.0016964,0.0016964,0.0016964
48,804.123,0.33521,0.3825,0.2417,0.92633,0.99955,1,0.995,0.97712,0.99955,1,0.995,0.98792,0.26117,0.31375,0.20671,0.84886,0.0016898,0.0016898,0.0016898
49,816.462,0.35,0.38556,0.25,0.91561,0.9973,1,0.995,0.96445,0.9973,1,0.995,0.98741,0.28504,0.31445,0.19426,0.86161,0.0016832,0.0016832,0.0016832
50,829.741,0.35884,0.38857,0.2517,0.92586,0.99967,1,0.995,0.96772,0.99967,1,0.995,0.98747,0.28436,0.3045,0.201,0.87704,0.0016766,0.0016766,0.0016766
51,846.887,0.35043,0.36446,0.24562,0.91934,0.96546,0.98851,0.99444,0.97131,0.96546,0.98851,0.99444,0.9868,0.25976,0.30329,0.27836,0.8432,0.00167,0.00167,0.00167
52,860.654,0.34214,0.36307,0.2522,0.91573,0.99962,1,0.995,0.96397,0.99962,1,0.995,0.98812,0.25904,0.29611,0.20494,0.83488,0.0016634,0.0016634,0.0016634
53,877.86,0.33527,0.35876,0.25404,0.91387,0.99962,1,0.995,0.97395,0.99962,1,0.995,0.98795,0.23988,0.30055,0.20832,0.83053,0.0016568,0.0016568,0.0016568
54,893.553,0.3444,0.37971,0.2481,0.9145,0.99957,1,0.995,0.97335,0.99957,1,0.995,0.98819,0.25569,0.33768,0.21437,0.83515,0.0016502,0.0016502,0.0016502
55,911.783,0.35684,0.40698,0.25929,0.9334,0.99481,1,0.995,0.9681,0.99481,1,0.995,0.98687,0.26638,0.30051,0.19787,0.84904,0.0016436,0.0016436,0.0016436
56,934.188,0.35598,0.38483,0.26436,0.92737,0.99886,1,0.995,0.9275,0.99886,1,0.995,0.98621,0.33612,0.29844,0.27074,0.92582,0.001637,0.001637,0.001637
57,952.164,0.33663,0.35507,0.25428,0.91512,1,0.99891,0.995,0.94839,1,0.99891,0.995,0.97218,0.32565,0.30298,0.25394,0.89808,0.0016304,0.0016304,0.0016304
58,965.403,0.32605,0.33379,0.24018,0.90747,0.9996,1,0.995,0.97243,0.9996,1,0.995,0.98717,0.25959,0.30154,0.19972,0.83997,0.0016238,0.0016238,0.0016238
59,982.304,0.32579,0.36589,0.23611,0.91282,0.99964,1,0.995,0.96816,0.99964,1,0.995,0.98635,0.25797,0.29479,0.19071,0.83339,0.0016172,0.0016172,0.0016172
60,995.386,0.33189,0.3519,0.23474,0.91587,0.99965,1,0.995,0.96415,0.99965,1,0.995,0.98858,0.2958,0.30395,0.19711,0.86816,0.0016106,0.0016106,0.0016106
61,1014.92,0.37208,0.40077,0.25459,0.93119,0.99967,1,0.995,0.97772,0.99967,1,0.995,0.98802,0.25496,0.30558,0.20336,0.83875,0.001604,0.001604,0.001604
62,1028.8,0.33635,0.37454,0.24497,0.91484,0.99966,1,0.995,0.97006,0.99966,1,0.995,0.98958,0.26718,0.31068,0.19849,0.84273,0.0015974,0.0015974,0.0015974
63,1050.74,0.35086,0.41967,0.24742,0.91949,0.99952,1,0.995,0.97523,0.99952,1,0.995,0.9855,0.25617,0.31047,0.1885,0.83831,0.0015908,0.0015908,0.0015908
64,1067.44,0.35877,0.36919,0.24584,0.93196,0.99318,1,0.99494,0.98228,0.99318,1,0.99494,0.98898,0.25371,0.30437,0.18384,0.83577,0.0015842,0.0015842,0.0015842
65,1085.96,0.36919,0.41139,0.25558,0.92474,0.99954,1,0.995,0.98312,0.99954,1,0.995,0.99023,0.26787,0.29915,0.18859,0.84151,0.0015776,0.0015776,0.0015776
66,1101.9,0.32918,0.37072,0.23177,0.91668,0.99889,1,0.995,0.97495,0.99889,1,0.995,0.98988,0.23936,0.28991,0.18707,0.82021,0.001571,0.001571,0.001571
67,1121.45,0.34569,0.38611,0.24536,0.92011,0.99966,1,0.995,0.98046,0.99966,1,0.995,0.98869,0.23724,0.30309,0.17333,0.82441,0.0015644,0.0015644,0.0015644
68,1136.36,0.33224,0.39387,0.23118,0.91202,0.98387,1,0.995,0.98437,0.98387,1,0.995,0.98548,0.22872,0.30394,0.20369,0.81876,0.0015578,0.0015578,0.0015578
69,1150.72,0.33754,0.3646,0.23766,0.91619,0.99956,1,0.995,0.9785,0.99956,1,0.995,0.98394,0.26534,0.30676,0.20733,0.83623,0.0015512,0.0015512,0.0015512
70,1169.48,0.32647,0.36815,0.22845,0.90875,0.99926,1,0.995,0.98645,0.99926,1,0.995,0.98799,0.24371,0.31513,0.189,0.82712,0.0015446,0.0015446,0.0015446
71,1183.8,0.32477,0.3649,0.22509,0.90587,0.99965,1,0.995,0.97973,0.99965,1,0.995,0.98949,0.23421,0.29761,0.18509,0.81754,0.001538,0.001538,0.001538
72,1201.48,0.32626,0.3663,0.22999,0.91101,0.99967,1,0.995,0.98112,0.99967,1,0.995,0.99096,0.23937,0.30345,0.17435,0.82286,0.0015314,0.0015314,0.0015314
73,1215.56,0.3341,0.37109,0.23364,0.90827,0.98824,1,0.99455,0.96891,0.98824,1,0.99455,0.98507,0.27982,0.30947,0.25092,0.84818,0.0015248,0.0015248,0.0015248
74,1232.89,0.34721,0.38271,0.23541,0.92248,0.99967,1,0.995,0.982,0.99967,1,0.995,0.99105,0.23825,0.30187,0.17409,0.82311,0.0015182,0.0015182,0.0015182
75,1245.75,0.34098,0.37727,0.23513,0.92219,0.99952,1,0.995,0.98613,0.99952,1,0.995,0.98958,0.23155,0.28932,0.18081,0.81993,0.0015116,0.0015116,0.0015116
76,1259.83,0.31723,0.35534,0.22871,0.90558,0.99947,1,0.995,0.98591,0.99947,1,0.995,0.98757,0.24709,0.28944,0.18322,0.83264,0.001505,0.001505,0.001505
77,1277.11,0.33028,0.39583,0.2383,0.91914,0.99541,1,0.995,0.97813,0.99541,1,0.995,0.98701,0.24014,0.29002,0.20564,0.82342,0.0014984,0.0014984,0.0014984
78,1292.38,0.33398,0.36989,0.23768,0.91052,0.99968,1,0.995,0.97645,0.99968,1,0.995,0.98852,0.26029,0.30438,0.19043,0.83369,0.0014918,0.0014918,0.0014918
79,1310.66,0.34038,0.37304,0.23262,0.91411,0.99967,1,0.995,0.97819,0.99967,1,0.995,0.9894,0.2477,0.30217,0.17159,0.82598,0.0014852,0.0014852,0.0014852
80,1327.15,0.32576,0.3629,0.23045,0.90328,0.99967,1,0.995,0.97875,0.99967,1,0.995,0.98974,0.2503,0.29162,0.17966,0.82621,0.0014786,0.0014786,0.0014786
81,1344.94,0.32331,0.34862,0.22446,0.91698,0.99943,1,0.995,0.98313,0.99943,1,0.995,0.99021,0.24178,0.2959,0.18716,0.82058,0.001472,0.001472,0.001472
82,1357.32,0.33546,0.34635,0.23353,0.91881,0.99964,1,0.995,0.98172,0.99964,1,0.995,0.9901,0.24863,0.29664,0.18005,0.82368,0.0014654,0.0014654,0.0014654
83,1376.26,0.33554,0.38571,0.235,0.91578,0.99425,0.99384,0.99494,0.97917,0.99425,0.99384,0.99494,0.99047,0.25794,0.2918,0.2005,0.84261,0.0014588,0.0014588,0.0014588
84,1396.69,0.31327,0.34513,0.22456,0.90416,0.99964,1,0.995,0.98108,0.99964,1,0.995,0.99112,0.23503,0.29341,0.16429,0.8221,0.0014522,0.0014522,0.0014522
